# OF COMPLETED EVENTS,Partnership Tier Level ,Characteristics,VENUE NAME,Assigned Consultant Manager,ADDRESS,DISTANCE FROM OUR  KITCHEN,REFERRAL STATUS,LAST EVENT DATE,Are we added to ther website as  preferred vendor?,Partnered Venue?,Needs Permit?,Notes,Account Manager ,Venue visti done? ,Link of Close CRM,Website Link 
COMPLETED 1 EVENT,,"Big venue 200PPL, THEY NEED BAR,  lot of parking very little  pretty landscaping outdoors, Price point 1-1.5k, has amazing FULL kitchen, venue very easy to work with, flixible, allow drop offs if necessary, could grill outside, no accomodations, they have dumpster we can use, they have church to get married in ,  ",St. Mary's Syriac Orthodox Church        ,Toni,"360 Foley St, Somerville, MA 02145",,,11/9/2024,,,,1 event done,,,,
COMPLETED 1 EVENT,,,St. Theresa's Church,,"400 Cardinal Medeiros Ave, Cambridge, MA 02141",,,,,,,,,,,https://loring-greenough.org/
COMPLETED 1 EVENT,,,The Arc of Opportunity in North Central Massachusetts,,"315 South Bradford Street North Andover, MA 01845",,,,,,,1 event done ,,,,
COMPLETED 1 EVENT,,,Lilac hedge farm,,"216 Wachusett St, Rutland, MA 01543",,,6/21/2025,,,,1 event done,,,,
COMPLETED 1 EVENT,,"absolutely beautiful outside
80-90 ppl 
NO BAR
NOkitchen / very limited area for cooking inside 
grilling outside permited 
$2,500-$4,000
no accomodation 
plenty of parking 
Farmy & Barn feel and vibe ... 
Close by - 35 min away
Small hall ",The Farm at Summit Wynds,,"69 Summit Rd, Holden, MA 01522 ",,,5/10/2025,,,,1 event done,,,,
COMPLETED 1 EVENT,,,The Loring Greenough House,,"315 South Bradford Street	 North Andover, MA",,,6/22/2025,,,,1 event done,,,https://app.close.com/lead/lead_777NSveVk6TEVJcLpzMX0plP05o5bYdQpxKGt1oGanX/,
COMPLETED 1 EVENT,,,The Row Hotel,,,,,7/11/2025,,,,,,,,
COMPLETED 1 EVENT,,,The Row Hotel at Assembly Row,,"577 Main St Suite #105 Hudson, MA 01749",,,,,,,,,,https://app.close.com/lead/lead_Jsjv2NxfQAYHFgP4jNQIpBmBQdZfCEBYQ3bq5oxVq4F/,
COMPLETED 1 EVENT,,,The stationary factory,,"782 South St. Wrentham, MA 02093",,,,,,,One event done. We do allow outside catering and bar service.,,,https://app.close.com/lead/lead_TYLNxvQRa3CpN52fLDixToX26H1l9vh8xMt82glLzQV/,
,,,The Venue at Machines with Magnets,,"156 Hamilton St, Leominster, MA 01453 ",,,,,,,,,,,
,,,Trentos Disposal and Services,,"228 Leominster Rd POB 37, Sterling, MA 01564",,,,,,,I am not sure if we are partners any more ,,,,
,,,UTZ KAYLA LOWE,,"580 Mountain Rd, Jaffrey, NH 03452/////759 Water St Fitchburg Ma, 01420",,,,,,,Permanently closed,,,,
COMPLETED 1 EVENT,,,Venue 727,," THE BARN, 124 Old Farms Rd, Simsbury, CT 06070",,,6/29/2025,,,,1 event done ,,,,
COMPLETED 1 EVENT,,,War Memorial Building,,"50 Woods Rd, Westminster, MA 01473",,,9/27/25,,,,1 Event done,,,,
COMPLETED 1 EVENT,,,Wildwood Farm LCC,,"2 Oak St, Framingham, MA 01701",,,,,,,,,,,
,,,Winbrooke,,"8 Church St Shirley, MA 01464",,,,,,,,,,https://app.close.com/lead/lead_PAduuYpMfsyR0rsXB6uVGeNe8Mjwvb7sEnyurpNfb67/,
,,,Working man Distillers,,"279 Cobb Hill Rd, Harrisville, NH 03450, United States",,,10/13/2026,,,,upcoming event in 10/13/2026,,,,
