Appetizers,Premium,,Mains,Premium,,Sides,Premium,,Platters & Boards,Description,Premium,,"Soups &
Salads",Premium,,Bar/Beverage,Description,Premium,,Kids Menu,Option,,Rental / Extra,Description,Premium,,,,,,Services,Premium,Mains,Sides,Staff,Description,,Extras,,,Vendor Meals,Option,,,,Brunch,Option
Assorted Croquettes (3-in-1 Sampler),8.50,,Garlic Butter Porkloin,,,Cauliflower,,,,,,,Broccoli & Cheese,6.50,,Beverage Package,"Coke, Sprite, Diet Coke Cans, Bottled Water 
and 2 refillable table dispensers 
(can be lemonade, ice tea or one of our juices)",6.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mimosa Open Bar (4hrs),16.00
Beef & Yuca Croquettes,3.50,,Pig Roast,6.5,,Vegetable Medley,,,,,,,Chickpea & Kale,6.50,,____ Brunch ____,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mimosa Open Bar (1hr),10.00
,,,_____ Seafood _____,,,Collard Greens,,,,,,,Clam Chowder,8.50,,"Tea, Juices and Mimosas","A variety of hot teas, fresh juices & sparkling mimosas to brighten your brunch.",13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mimosa Cash Bar + Bartender Service ($100),2.75
Corn & Cheese Croquettes,3.50,,Sea Bass,9.00,,_____ Beans _____,,,,,,,Corn Chowder,6.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken & Cheese Croquettes,3.50,,Tuna Steaks,11.00,,Beans,,,,,,,French Onion Soup,6.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Only Croquettes (Coxhina),3.50,,Sesame Soy Tilapia,10.00,,Tropeiro Beans,,,,,,,Mushroom Veloute,6.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_____ Pão de Queijo (Cheese Bread) ____,,,Salmon,8.00,,Black Beans,,,,,,,Beef Stew,6.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parmesan Garlic Pão de Queijo,2.99,,Haddock,9.00,,,,,,,,,Chicken Stew,6.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traditional Classic Pão de Queijo,2.50,,Baked Stuffed Seafood,10.00,,_____ Specialty Items _____,,,,,,,Turkey Stew,6.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_____ Mini Turnovers _____,,,Grilled Tilapia,,,Mac N Cheese,,,,,,,Tomato Basil Soup,6.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef Mini Turnovers,2.50,,,,,Buttered Cavatappi Pasta,,,,,,,Lobster Bisque,9.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese Mini Turnovers,2.50,,,,,Yuca (Fried),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Mini Turnovers,2.50,,_____ Lamb _____,,,Plantains,,,,,,,____ Desserts ____,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Turnover Sampler (3-in-1 Appetizer),5.95,,Lamb Chops,7.00,,"Papa Rellena (Spanish mashed potato balls with savory filling, fried)",3.75,,,,,,Flan,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_____ Meatballs _____,,,Leg of Lamb,2.00,,_____ Brunch_____,,,,,,,Brigadeiro,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBQ Meatballs,5.00,,,,,Yogurt,,,,,,,Chocolate Truffle,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italian Meatballs,5.00,,_____ Vegetarian _____,,,Pancakes,,,,,,,Passion Fruit Mousse,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
